N	Key word	Freq.	%	Texts	RC. Freq.	RC. %	BIC	Log_L	Log_R	D-Diff
79	RÉGIMEN	232	0	18	32.826	0,01	594,37	613,97	3,2	0,5
80	TARJETA	227	0	12	6.096	0	1.288,80	1.308,40	5,6	0,31
81	DOCUMENTAR	226	0	2	479	0	2.337,53	2.357,13	9,26	0,57
82	MENORES	225	0	16	19.303	0,01	780,68	800,28	3,92	0,2
83	DOCUMENTACIÓN	225	0	20	6.713	0	1.231,75	1.251,35	5,44	0,14
84	AUTORIZAR	223	0	10	1.605	0	1.824,82	1.844,42	7,5	0,35
85	CIRCUNSTANCIAS	223	0	14	20.035	0,01	754,49	774,09	3,85	0,12
86	DICHA	223	0	19	34.923	0,01	530,63	550,23	3,05	0,13
87	RELACIÓN	222	0	19	87.577	0,03	200,1	219,7	1,72	0,11
88	DIRECCIÓN	222	0	22	57.170	0,02	342,36	361,96	2,33	0,56
89	EXPULSIÓN	220	0	8	6.062	0	1.237,57	1.257,17	5,56	0,41
90	GESTIÓN	220	0	12	32.737	0,01	542,99	562,59	3,13	0,26
91	REFUGIADO	220	0	8	1.619	0	1.790,90	1.810,50	7,46	0,58
92	CONCEDER	219	0	5	5.270	0	1.288,88	1.308,48	5,75	0,3
93	MESES	219	0	16	68.686	0,02	270,19	289,79	2,05	0,16
94	TRABAJADORES	218	0	8	35.989	0,01	498,21	517,81	2,98	0,25
95	MEDIDA	218	0	11	52.344	0,02	360,46	380,06	2,44	0,13
96	DATOS	217	0	16	59.571	0,02	312,2	331,8	2,24	0,24
97	CENTRO	216	0	10	96.426	0,03	158,07	177,67	1,54	0,34
98	REGISTRAR	216	0	2	2.454	0	1.581,34	1.600,94	6,84	0,64
99	IDENTIDAD	215	0	18	15.955	0	803,25	822,85	4,13	0,57
100	INTERIOR	210	0	18	65.312	0,02	260,96	280,56	2,06	0,58
101	CUYO	210	0	21	45.141	0,01	384,76	404,36	2,6	0,25
102	NORMATIVA	206	0	21	8.374	0	1.003,88	1.023,48	5	0,22
103	FECHA	201	0	19	38.496	0,01	406,47	426,07	2,76	0,17
104	RECURSO	201	0	9	25.576	0,01	550,43	570,03	3,35	0,19
105	DOCUMENTO	200	0	17	20.767	0,01	621,36	640,96	3,65	0,11
106	INFORMACIÓN	199	0	16	82.368	0,03	164,18	183,78	1,65	0,42
107	PROPONER	195	0	7	5.778	0	1.067,49	1.087,09	5,45	0,47
108	AJENO	191	0	2	4.003	0	1.172,32	1.191,92	5,95	0,42
109	VIGENCIA	188	0	11	3.235	0	1.224,77	1.244,37	6,24	0,3
110	LEGAL	187	0	21	16.632	0,01	633,02	652,62	3,87	0,27
111	NACIONALIDAD	187	0	24	6.276	0	978,15	997,75	5,27	0,43
112	PERJUICIO	185	0	14	4.533	0	1.079,31	1.098,91	5,73	0,39
113	NECESIDAD	184	0	15	55.240	0,02	236,14	255,74	2,11	0,19
114	ENCONTRAR	183	0	2	39.526	0,01	331,31	350,91	2,59	0,58
115	REGISTRO	181	0	17	13.142	0	680,52	700,12	4,16	0,26
116	VIAJAR	181	0	2	7.817	0	858,71	878,32	4,91	0,54
117	BOE	179	0	21	925	0	1.570,14	1.589,74	7,97	0,26
118	AJENA	176	0	7	3.533	0	1.093,29	1.112,89	6,02	0,15
119	MIGRACIÓN	176	0	2	3.552	0	1.091,48	1.111,08	6,01	0,38
120	ORGANIZACIÓN	174	0	12	54.570	0,02	210,66	230,26	2,05	0,22
121	CONSULAR	174	0	12	411	0	1.764,08	1.783,68	9,1	0,15
122	CONFORMIDAD	173	0	15	12.086	0	662,1	681,7	4,22	0,17
123	PRESENTACIÓN	173	0	19	15.544	0	580,9	600,5	3,85	0,11
124	CONTENER	172	0	7	5.463	0	916,32	935,92	5,35	0,37
125	ENTIDAD	171	0	9	14.327	0	596,13	615,73	3,95	0,23
126	REGULAR	170	0	11	11.866	0	650,56	670,16	4,22	0,48
127	CIUDADANO	169	0	9	11.143	0	664,72	684,32	4,3	0,36
128	REPRESENTANTE	169	0	13	15.449	0	561,62	581,22	3,83	0,22
129	MEDIOS	168	0	16	57.827	0,02	179,41	199,01	1,92	0,14
130	ADICIONAL	168	0	14	7.752	0	774,4	794	4,82	0,16
131	INCLUIR	167	0	4	10.955	0	658,23	677,83	4,31	0,29
132	PRESTACIÓN	166	0	10	3.770	0	990,69	1.010,29	5,84	0,14
133	CENTROS	165	0	8	23.463	0,01	415,6	435,2	3,19	0,29
134	EXPEDIR	165	0	3	291	0	1.750,10	1.769,70	9,52	0,36
135	MIGRACIONES	165	0	6	1.741	0	1.226,48	1.246,08	6,94	0,36
136	PROCEDER	165	0	9	6.627	0	803,98	823,58	5,02	0,43
137	TÉRMINO	161	0	4	43.462	0,01	230,83	250,43	2,27	0,19
138	EMPRESA	159	0	4	50.192	0,02	189,24	208,84	2,04	0,36
139	RESIDIR	159	0	12	956	0	1.348,43	1.368,03	7,76	0,46
140	RESOLVER	159	0	12	16.566	0,01	488,97	508,57	3,64	0,48
141	COMUNIDAD	158	0	8	64.657	0,02	128,77	148,37	1,67	0,22
142	INICIAL	157	0	8	15.152	0	504,64	524,24	3,75	0,3
143	LARGA	156	0	4	26.507	0,01	343,13	362,73	2,93	0,4
144	AUTORIDADES	155	0	14	39.513	0,01	235,64	255,24	2,35	0,12
145	ACTUACIÓN	154	0	6	18.650	0,01	430,86	450,46	3,42	0,21
146	DOCUMENTOS	154	0	18	18.537	0,01	432,55	452,15	3,43	0,15
147	EMPLEADOR	154	0	4	479	0	1.487,10	1.506,70	8,71	0,58
148	TÉRMINOS	154	0	18	29.160	0,01	309,83	329,43	2,78	0,11
149	EDAD	152	0	13	55.707	0,02	146,62	166,22	1,83	0,18
150	RENOVACIÓN	152	0	7	6.597	0	716,56	736,16	4,9	0,27
151	PERIODO	150	0	11	28.691	0,01	298,69	318,29	2,76	0,28
152	VIAJE	150	0	13	33.413	0,01	260,36	279,96	2,54	0,22
153	RESIDENTE	148	0	6	2.537	0	961,09	980,69	6,24	0,23
154	SALVO	148	0	18	15.039	0	460,57	480,17	3,68	0,16
155	SALIDA	147	0	11	24.644	0,01	325,64	345,24	2,95	0,25
156	ACTIVIDADES	145	0	11	40.243	0,01	199,62	219,22	2,23	0,19
157	CORRESPONDER	145	0	1	1.594	0	1.064,17	1.083,77	6,88	0,42
158	NORMAS	145	0	19	35.105	0,01	231,24	250,84	2,42	0,1
159	OBTENER	145	0	17	26.261	0,01	301,61	321,21	2,84	0,62
160	CAUSA	143	0	10	53.362	0,02	133,1	152,7	1,8	0,17
161	DIPLOMÁTICO	143	0	4	5.387	0	711,71	731,31	5,11	0,29
162	RECURSOS	142	0	14	43.843	0,01	171,68	191,28	2,07	0,25
163	SUPERIOR	139	0	14	45.316	0,01	156,24	175,84	1,99	0,24
164	CASOS	138	0	20	52.900	0,02	122,51	142,11	1,76	0,12
165	OFERTA	136	0	3	14.370	0	411,91	431,51	3,62	0,63
166	GARANTIZAR	135	0	9	25.008	0,01	274,24	293,84	2,81	0,18
167	PÚBLICA	134	0	16	48.177	0,01	130,64	150,24	1,85	0,13
168	ACOMPAÑAR	133	0	5	3.012	0	790,57	810,17	5,84	0,49
169	ESTATUTO	133	0	12	18.030	0,01	342,5	362,11	3,26	0,14
170	MÁXIMO	133	0	14	28.054	0,01	240,68	260,29	2,62	0,14
171	CUMPLIR	131	0	11	21.605	0,01	291,79	311,39	2,98	0,48
172	RECONOCER	130	0	5	14.907	0	373,5	393,1	3,5	0,4
173	COLECTIVO	127	0	8	8.254	0	498,1	517,7	4,32	0,26
174	AUTÓNOMO	126	0	1	3.735	0	682,73	702,33	5,45	0,46
175	RAZONES	125	0	14	27.856	0,01	213,61	233,21	2,54	0,14
176	POLICÍA	125	0	14	46.895	0,01	112,93	132,53	1,79	0,45
177	ALOJAMIENTO	124	0	6	3.201	0	704,54	724,14	5,65	0,5
178	CONSIDERAR	124	0	7	19.555	0,01	284,84	304,44	3,04	0,46
179	CONSTAR	124	0	10	1.718	0	852,58	872,18	6,55	0,34
180	CONTRATACIÓN	124	0	5	4.854	0	605,43	625,03	5,05	0,26
181	PERMANENCIA	124	0	13	3.633	0	674,36	693,96	5,47	0,12
182	ACTUACIONES	123	0	11	9.723	0	436,62	456,22	4,04	0,21
183	FAMILIARES	123	0	12	14.895	0	340,19	359,79	3,42	0,16
184	INSTRUCCIÓN	123	0	12	8.283	0	473,57	493,17	4,27	0,36
185	TASA	122	0	9	12.451	0	375,24	394,84	3,67	0,22
186	PROFESIONAL	121	0	8	26.093	0,01	212,74	232,34	2,59	0,24
187	ASISTENCIA	121	0	10	14.017	0	344,05	363,65	3,49	0,31
188	MOTIVAR	119	0	1	532	0	1.068,46	1.088,06	8,18	0,41
189	ASUNTO	118	0	2	38.914	0,01	127,65	147,25	1,98	0,24
190	CONTRATAR	118	0	3	2.038	0	760,6	780,2	6,23	0,71
191	º	118	0	8	3.595	0	631,92	651,52	5,41	0,12
192	ACCESO	116	0	14	37.418	0,01	128,99	148,59	2,01	0,28
193	PRODUCIR	116	0	3	15.569	0	298,29	317,89	3,27	0,63
194	REGRESAR	116	0	8	9.922	0	393,63	413,23	3,92	0,64
195	CERTIFICADO	115	0	12	2.714	0	671,81	691,41	5,78	0,26
196	EXTERIOR	115	0	8	32.584	0,01	150,54	170,14	2,2	0,16
197	PROVISIONAL	115	0	11	7.213	0	456,9	476,5	4,37	0,24
198	BENEFICIARIO	114	0	8	660	0	969,17	988,77	7,81	0,36
199	ECONÓMICOS	114	0	13	19.955	0,01	239,62	259,22	2,89	0,11
200	ÓRGANOS	114	0	13	10.531	0	370,26	389,86	3,81	0,17
201	REAGRUPACIÓN	113	0	7	451	0	1.036,53	1.056,13	8,35	0,41
202	NOTIFICAR	113	0	5	457	0	1.033,87	1.053,47	8,33	0,29
203	DENEGACIÓN	112	0	13	964	0	869,27	888,87	7,24	0,23
204	MISIÓN	112	0	6	23.915	0,01	197,3	216,9	2,6	0,34
205	SUPUESTO	111	0	12	32.141	0,01	140,87	160,47	2,17	0,16
206	REGULADOR	111	0	2	1.930	0	712,89	732,49	6,22	0,45
207	EXCEPCIONAL	108	0	7	5.084	0	486,72	506,32	4,79	0,24
208	FRONTERA	108	0	9	18.743	0,01	227,57	247,18	2,9	0,21
209	PENAL	108	0	7	12.739	0	301,45	321,05	3,46	0,18
210	DIPLOMÁTICA	106	0	11	3.309	0	560,71	580,31	5,38	0,18
211	EFECTUAR	106	0	10	4.445	0	500,74	520,34	4,95	0,58
212	RETORNAR	106	0	3	1.325	0	746,78	766,38	6,7	0,53
213	III	105	0	15	29.822	0,01	135,35	154,95	2,19	0,11
214	SANCIÓN	105	0	7	4.809	0	478,15	497,75	4,83	0,24
215	VÍCTIMA	104	0	5	12.828	0	281,16	300,76	3,4	0,36
216	PRÓRROGA	104	0	8	2.115	0	635,42	655,02	6	0,16
217	PERMANECER	103	0	11	7.910	0	368	387,6	4,08	0,49
218	PÚBLICAS	102	0	16	21.441	0,01	180,6	200,21	2,63	0,1
219	EJERCICIO	102	0	14	26.233	0,01	146,92	166,52	2,34	0,39
220	DICTAR	101	0	13	1.641	0	660,03	679,63	6,32	0,36
221	REALIZACIÓN	101	0	15	12.024	0	278,95	298,55	3,45	0,48
222	SECRETARÍA	101	0	9	7.164	0	375,5	395,1	4,19	0,26
223	QUEDAR	100	0	5	11.106	0	288,6	308,2	3,55	0,53
224	ENTIDADES	100	0	11	10.067	0	306,55	326,15	3,69	0,28
225	SUFICIENTE	99	0	8	25.411	0,01	142,34	161,94	2,34	0,17
226	SANITARIO	98	0	4	3.440	0	494,85	514,45	5,21	0,15
227	COMUNICAR	97	0	7	3.655	0	476,42	496,02	5,11	0,51
228	REFUGIO	97	0	7	5.814	0	390,63	410,24	4,44	0,46
229	EXCEPCIONALES	96	0	9	2.411	0	546,09	565,69	5,69	0,29
230	VIGENTE	96	0	13	7.158	0	346,96	366,56	4,12	0,12
231	DELITO	95	0	7	12.028	0	250,67	270,27	3,36	0,18
232	IGUALMENTE	94	0	12	18.390	0,01	176,26	195,86	2,73	0,21
233	ENTENDER	94	0	5	20.673	0,01	157,83	177,43	2,56	0,61
234	CÓDIGO	93	0	15	20.713	0,01	154	173,6	2,54	0,19
235	CONTRATO	93	0	6	16.460	0,01	190,09	209,69	2,88	0,3
236	NECESIDADES	93	0	10	20.298	0,01	157,12	176,72	2,57	0,28
237	TITULARES	93	0	10	4.090	0	428,47	448,07	4,88	0,16
238	PROBAR	92	0	1	6.423	0	343,03	362,64	4,22	0,64
239	COMUNIDADES	91	0	8	23.370	0,01	129,17	148,77	2,34	0,17
240	EXIGIR	91	0	4	6.000	0	348,88	368,48	4,3	0,47
241	TRASLADAR	90	0	1	3.880	0	417,44	437,04	4,91	0,7
242	CONCURRIR	90	0	4	1.247	0	613,43	633,03	6,55	0,49
243	ESPECÍFICO	89	0	8	7.003	0	311,28	330,88	4,05	0,15
244	DISTINTO	89	0	5	10.047	0	252,06	271,66	3,52	0,29
245	PETICIÓN	88	0	10	15.202	0	182,5	202,1	2,91	0,21
246	ADECUAR	87	0	3	700	0	681,86	701,46	7,33	0,37
247	FIRMAR	87	0	4	5.233	0	347,76	367,36	4,43	0,54
248	GRAVES	87	0	10	16.395	0,01	167,21	186,81	2,79	0,17
249	REGRESO	87	0	9	14.901	0	181,49	201,09	2,92	0,21
250	RETORNO	87	0	11	7.685	0	285,13	304,73	3,88	0,25
251	INFRACCIONES	86	0	5	1.954	0	503,73	523,33	5,84	0,16
252	PERMITIR	86	0	6	15.438	0	172,22	191,82	2,86	0,5
253	FACILITAR	85	0	12	9.796	0	236,65	256,25	3,49	0,27
254	COLABORACIÓN	84	0	11	20.358	0,01	125,57	145,17	2,42	0,11
255	COLECTIVA	84	0	5	5.863	0	311,54	331,14	4,22	0,34
256	CONCERTADA	84	0	3	1.039	0	589,41	609,01	6,71	0,61
257	JUSTIFICAR	84	0	7	4.586	0	350,51	370,11	4,57	0,58
258	INGRESAR	83	0	1	3.184	0	401,98	421,58	5,08	0,78
259	OCUPACIÓN	83	0	5	12.113	0	195,5	215,1	3,15	0,33
260	CONSTITUIR	82	0	9	5.041	0	323,27	342,87	4,4	0,32
261	CORRESPONDIENTES	82	0	12	8.865	0	237,15	256,75	3,59	0,13
262	FORMULAR	82	0	8	4.615	0	336,97	356,57	4,53	0,37
263	APÁTRIDA	81	0	7	76	0	924,58	944,18	10,44	0,37
264	APROBADO	81	0	18	11.786	0	190,74	210,34	3,16	0,46
265	DEVOLUCIÓN	81	0	8	3.147	0	389,85	409,45	5,06	0,27
266	PERSONALMENTE	81	0	7	8.364	0	240,81	260,41	3,65	0,25
267	REGLAMENTARIAMENTE	80	0	10	263	0	755,41	775,01	8,63	0,23
268	EXISTIR	80	0	5	9.161	0	222,51	242,11	3,5	0,63
269	COMISARÍA	79	0	9	2.765	0	395,55	415,15	5,21	0,11
270	FUNCIONARIO	79	0	9	5.872	0	282,51	302,11	4,13	0,19
271	OBTENCIÓN	79	0	13	4.181	0	333,15	352,75	4,62	0,12
272	EJERCER	78	0	5	8.644	0	221,1	240,7	3,55	0,58
273	INCLUSIÓN	78	0	8	6.162	0	269,8	289,4	4,04	0,24
274	MODIFICAR	78	0	5	7.309	0	245,09	264,69	3,79	0,59
275	TASAS	78	0	8	5.270	0	292,66	312,26	4,26	0,24
276	APROBAR	77	0	6	7.191	0	242,18	261,78	3,8	0,4
277	DELEGACIÓN	77	0	4	11.008	0	182,76	202,36	3,18	0,31
278	DEPENDENCIA	77	0	9	6.665	0	253	272,6	3,91	0,21
279	ENCUENTRE	77	0	13	3.901	0	330,61	350,21	4,68	0,17
280	EXPRESAR	77	0	2	13.453	0	155,73	175,34	2,89	0,41
281	FIJAR	77	0	4	6.077	0	266,23	285,83	4,04	0,46
282	INDICAR	77	0	4	6.684	0	252,59	272,19	3,9	0,39
283	INGRESO	77	0	5	8.295	0	221,99	241,59	3,59	0,32
284	SUBSIDIARIA	77	0	10	1.019	0	528,74	548,34	6,62	0,56
285	REFUGIADOS	76	0	9	9.355	0	200,47	220,07	3,4	0,19
286	ANEXO	76	0	10	3.603	0	335,67	355,27	4,78	0,34
287	CAUSAS	75	0	11	16.276	0,01	123,63	143,23	2,58	0,18
288	DESTINATARIO	75	0	3	1.033	0	508,78	528,38	6,56	0,57
289	INICIAR	75	0	2	8.802	0	204,04	223,64	3,47	0,42
290	LABORALES	75	0	7	6.129	0	253,94	273,54	3,99	0,14
291	APORTAR	74	0	9	4.678	0	285,92	305,52	4,36	0,44
292	CONTRATACIONES	74	0	3	503	0	600,31	619,91	7,58	0,29
293	NOMBRAR	74	0	1	3.834	0	313,81	333,41	4,65	0,68
294	RECOGER	74	0	4	6.552	0	239,27	258,87	3,87	0,49
295	ADOPTAR	73	0	12	15.057	0	126	145,6	2,65	0,32
296	CONTINUAR	73	0	7	14.254	0	132,75	152,35	2,73	0,58
297	LEGALMENTE	73	0	13	3.438	0	322,57	342,17	4,79	0,12
298	ATENDER	72	0	9	5.801	0	244,9	264,5	4,01	0,58
299	OFERTAS	72	0	4	3.638	0	308,23	327,83	4,68	0,64
300	PÁRRAFO	72	0	10	4.211	0	288,25	307,85	4,47	0,16
301	SUBDELEGACIÓN	72	0	2	657	0	543,9	563,5	7,15	0,23
302	TRASLADO	72	0	12	5.945	0	241,61	261,21	3,98	0,11
303	CÓNYUGE	70	0	7	911	0	481,12	500,72	6,64	0,24
304	CONCEDIDA	69	0	9	2.204	0	355,11	374,71	5,35	0,3
305	EMPRESARIAL	69	0	3	6.316	0	217,53	237,13	3,83	0,42
306	PROHIBICIÓN	69	0	7	8.827	0	175,42	195,02	3,34	0,25
307	TRÁNSITO	69	0	6	6.177	0	220,37	239,97	3,86	0,5
308	VALIDEZ	69	0	9	3.502	0	293,99	313,59	4,68	0,18
309	ENTENDERÁ	68	0	12	509	0	537,85	557,45	7,44	0,12
310	RESOLUCIONES	68	0	10	6.381	0	210,98	230,58	3,79	0,17
311	COPIA	67	0	8	5.642	0	221,02	240,62	3,95	0,56
312	OFICIO	67	0	10	10.008	0	151,28	170,88	3,12	0,13
313	POLICIAL	67	0	3	7.838	0	180,57	200,17	3,47	0,25
314	REUNIR	67	0	4	5.526	0	223,61	243,21	3,98	0,46
315	OFICINAS	66	0	9	7.835	0	175,83	195,43	3,45	0,29
316	PREVISIÓN	66	0	9	4.364	0	247,3	266,9	4,3	0,11
317	RESIDENTES	66	0	12	5.920	0	209,7	229,3	3,86	0,17
318	TRAMITAR	66	0	4	760	0	467,89	487,49	6,82	0,3
319	INTERESADOS	65	0	12	4.711	0	232,05	251,65	4,16	0,12
320	HTTPS	64	0	2	67	0	716,74	736,34	10,28	0,32
321	INADMISIÓN	63	0	7	167	0	614,02	633,62	8,94	0,12
322	INMEDIATO	63	0	7	12.103	0	113,61	133,22	2,76	0,33
323	TERRITORIAL	63	0	7	11.109	0	122,85	142,45	2,88	0,55
324	TRANSCURRIR	63	0	1	703	0	449,49	469,09	6,86	0,62
325	VOLUNTARIO	63	0	7	3.109	0	270,08	289,69	4,72	0,47
326	GARANTÍA	62	0	6	8.197	0	151,98	171,58	3,3	0,16
327	INTERMINISTERIAL	62	0	9	296	0	539,94	559,54	8,09	0,1
328	SUFICIENTES	62	0	12	8.827	0	143,8	163,4	3,19	0,17
329	TRANSPORTAR	62	0	1	2.834	0	274,54	294,14	4,83	0,67
330	ADMITIR	61	0	4	5.026	0	201,95	221,55	3,98	0,48
331	BIS	61	0	9	1.456	0	345,82	365,42	5,77	0,28
332	EMITIR	61	0	3	4.022	0	227,4	247,01	4,3	0,63
333	ENCUENTREN	61	0	12	2.328	0	290,84	310,44	5,09	0,19
334	INSCRIPCIÓN	61	0	10	4.069	0	226,07	245,67	4,28	0,56
335	COMPLETAR	60	0	3	5.577	0	184,9	204,5	3,8	0,62
336	CVE	60	0	2	28	0	730,77	750,37	11,44	0,16
337	DIRIGIR	60	0	5	7.829	0	147,85	167,45	3,32	0,49
338	PÁG	60	0	2	5.370	0	189,1	208,7	3,86	0,44
339	SEC	60	0	2	1.017	0	379,27	398,87	6,26	0,5
340	ACCEDER	59	0	10	9.543	0	122,64	142,24	3,01	0,59
341	MINISTERIAL	59	0	10	2.628	0	263,22	282,82	4,87	0,31
342	ORDINARIO	59	0	9	3.999	0	216,24	235,84	4,26	0,41
343	RESULTAR	59	0	4	4.843	0	195,09	214,69	3,98	0,49
344	ABONAR	58	0	3	850	0	382,13	401,73	6,47	0,45
345	HABILITAR	58	0	2	485	0	443,85	463,45	7,28	0,52
346	INCORPORAR	58	0	6	4.182	0	205,51	225,11	4,17	0,52
347	INTERNOS	58	0	3	6.830	0	152,99	172,59	3,46	0,61
348	OPORTUNO	58	0	6	5.410	0	177,71	197,31	3,8	0,15
349	APELLIDOS	57	0	9	1.491	0	311,82	331,42	5,63	0,3
350	DESPLAZAMIENTO	57	0	7	4.430	0	193,62	213,23	4,06	0,32
351	DESPLAZAR	57	0	1	1.403	0	318,49	338,09	5,72	0,7
352	PRESTACIONES	57	0	9	3.930	0	206,42	226,02	4,24	0,24
353	VERIFICABLE	57	0	1	185	0	533,87	553,47	8,64	0,58
